data;scadenza;prezzo;tipo;prodotto;fonte
2026-06-26;lug-28;250.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-28;lug-27;251.0;PDT;GRANO DURO;Storico Simulato CAI
2026-06-29;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-29;lug-28;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-30;lug-27;245.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-06-30;lug-28;247.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-01;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-01;lug-28;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-02;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-02;lug-28;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-03;lug-27;246.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-03;lug-28;248.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-06;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-06;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-07;lug-27;249.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-07;lug-28;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-08;lug-27;251.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
2026-07-08;lug-28;253.0;PDT;GRANO DURO;PDF (PDT  PMG.pdf)
